"id" "V1" "V2" "V3" "V4" "V5"
"1" "Bacto-1_S1.dupmarked.bam.cov.zerocov" "IS711_Brucella_diagnostic" 0 517 842 0.614014
"2" "Bacto-1_S1.dupmarked.bam.cov.zerocov" "bcsp31_Brucella_diagnostic" 0 1579 1817 0.869015
"3" "Bacto-1_S1.dupmarked.bam.cov.zerocov" "acnA_MLST_Brucella" 0 339 490 0.691837
"4" "Bacto-1_S1.dupmarked.bam.cov.zerocov" "aroA_MLST_Brucella" 0 436 565 0.771681
"5" "Bacto-1_S1.dupmarked.bam.cov.zerocov" "caiA_MLST_Brucella" 0 335 449 0.746102
"6" "Bacto-1_S1.dupmarked.bam.cov.zerocov" "cobQ_MLST_Brucella" 0 175 422 0.414692
"7" "Bacto-1_S1.dupmarked.bam.cov.zerocov" "csdb_MLST_Brucella" 0 335 487 0.687885
"8" "Bacto-1_S1.dupmarked.bam.cov.zerocov" "ddlA_MLST_Brucella" 0 209 553 0.377939
"9" "Bacto-1_S1.dupmarked.bam.cov.zerocov" "dnaK_MLST_Brucella" 0 421 470 0.895745
"10" "Bacto-1_S1.dupmarked.bam.cov.zerocov" "fumC_MLST_Brucella" 0 300 452 0.663717
"11" "Bacto-1_S1.dupmarked.bam.cov.zerocov" "gap_MLST_Brucella" 0 497 589 0.843803
"12" "Bacto-1_S1.dupmarked.bam.cov.zerocov" "glk_MLST_Brucella" 0 384 475 0.808421
"13" "Bacto-1_S1.dupmarked.bam.cov.zerocov" "gyrB_MLST_Brucella" 0 362 487 0.743326
"14" "Bacto-1_S1.dupmarked.bam.cov.zerocov" "int_hyp_MLST_Brucella" 0 278 430 0.646512
"15" "Bacto-1_S1.dupmarked.bam.cov.zerocov" "leuA_MLST_Brucella" 0 323 482 0.670124
"16" "Bacto-1_S1.dupmarked.bam.cov.zerocov" "omp25_MLST_Brucella" 0 232 490 0.473469
"17" "Bacto-1_S1.dupmarked.bam.cov.zerocov" "prpE_MLST_Brucella" 0 295 468 0.630342
"18" "Bacto-1_S1.dupmarked.bam.cov.zerocov" "soxA_MLST_Brucella" 0 343 486 0.705761
"19" "Bacto-1_S1.dupmarked.bam.cov.zerocov" "trpE_MLST_Brucella" 0 334 486 0.687243
"20" "Bacto-1_S1.dupmarked.bam.cov.zerocov" "mutL_MLST_Brucella" 0 418 549 0.761384
"21" "Bacto-1_S1.dupmarked.bam.cov.zerocov" "mviM_MLST_Brucella" 0 283 447 0.63311
"22" "Bacto-1_S1.dupmarked.bam.cov.zerocov" "secY_Lepto_diagnostic" 0 97 1461 0.0663929
"23" "Bacto-1_S1.dupmarked.bam.cov.zerocov" "lfb1_Lepto_diagnostic" 0 259 336 0.770833
"24" "Bacto-1_S1.dupmarked.bam.cov.zerocov" "caiB_MLST_Lepto" 0 268 402 0.666667
"25" "Bacto-1_S1.dupmarked.bam.cov.zerocov" "glmU_MLST_Lepto" 0 137 444 0.308559
"26" "Bacto-1_S1.dupmarked.bam.cov.zerocov" "icdA_MLST_Lepto" 0 12 557 0.021544
"27" "Bacto-1_S1.dupmarked.bam.cov.zerocov" "lipL41_MLST_Lepto" 0 26 493 0.0527383
"28" "Bacto-1_S1.dupmarked.bam.cov.zerocov" "mreA_MLST_Lepto" 0 126 435 0.289655
"29" "Bacto-1_S1.dupmarked.bam.cov.zerocov" "pntA_MLST_Lepto" 0 145 525 0.27619
"30" "Bacto-1_S1.dupmarked.bam.cov.zerocov" "rpoB_H_MLST_Bartonella" 0 445 471 0.944798
"31" "Bacto-1_S1.dupmarked.bam.cov.zerocov" "fbaA_MLST_Brucella" 0 458 458 1
"32" "Bacto-1_S1.dupmarked.bam.cov.zerocov" "putA_MLST_Brucella" 0 527 527 1
"33" "Bacto-1_S1.dupmarked.bam.cov.zerocov" "pfkB_MLST_Lepto" 0 432 432 1
"34" "Bacto-1_S1.dupmarked.bam.cov.zerocov" "sucA_MLST_Lepto" 0 447 447 1
"35" "Bacto-1_S1.dupmarked.bam.cov.zerocov" "tpiA_MLST_Lepto" 0 426 426 1
